Wavelength_nm,Fit_0.9314_WL_1450.0nm_BW_5nm,Fit_0.8906_WL_1460.0nm_BW_5nm,Fit_0.8826_WL_1470.0nm_BW_5nm,Fit_0.8482_WL_1480.0nm_BW_20nm,Fit_0.8893_WL_1490.0nm_BW_10nm,Fit_0.9327_WL_1500.0nm_BW_5nm,Fit_0.9066_WL_1510.0nm_BW_10nm,Fit_0.8078_WL_1520.0nm_BW_10nm,Fit_0.9432_WL_1530.0nm_BW_5nm,Fit_0.8368_WL_1540.0nm_BW_10nm,Fit_0.9001_WL_1540.0nm_BW_10nm,Fit_0.7750_WL_1550.0nm_BW_20nm
1400.0,0.00043552919459991706,0.016042197075554473,0.0013038116770159986,0.006520155807264864,0.01399032355311037,8.402724375650688e-05,0.0013150583903505481,0.0069553991473576895,0.0024583921620751326,0.001058310844449446,0.00129787956372208,0.012573589087056617
1400.3999999999999,0.0026245787660751307,0.015929743512608213,0.001174709413540088,0.003944221350443812,0.014031493115302468,1.031779227778276e-05,0.005321611899433146,0.06107603756896363,0.0020483255480580713,0.0013141986287295115,0.0017595360442395405,0.012516461251673567
1400.8,0.0018952508585980477,0.01591326563400906,0.00121890638703533,0.0019415961826500265,0.014116039298385473,3.030837117046894e-05,0.0032233100019362034,0.042124680902274995,0.0001071657118626084,0.0016340106359331167,0.002045424592097954,0.012490872547036055
1401.2,7.361783913654352e-06,0.015881629604370423,0.0012435508345066048,0.0007402036398811234,0.01447575632387425,8.3490747446082e-05,0.0014485219659237543,0.012375624152468498,0.0028111359221631507,0.0018804316223655425,0.0013201453639489075,0.012527136724883365
1401.6,0.0016841763206350067,0.01576918404716336,0.0011145793461462782,0.000484354270165108,0.014482775308830255,2.0855017240758106e-05,0.005520978368204485,0.07491176723153724,0.0016271015689798528,0.0019472299339888103,0.001752574474108661,0.012451180069104683
1401.9999999999998,0.0029758165194856715,0.01577423062376419,0.001160056267794655,0.0012163156057963794,0.014634893270813359,1.622511188262309e-05,0.003056774474370509,0.012473081882531893,0.00030661634138534985,0.0018058710166215046,0.0020928863262221703,0.012449213130393367
1402.3999999999999,0.0007444326591611892,0.015756342970434323,0.0011825797584843378,0.002871973831209836,0.01498067902973345,7.780137336836069e-05,0.001583625606210563,0.04813363720192116,0.003051638472015211,0.0015191498009383033,0.0013484388646630206,0.012475103828016212
1402.8,0.0004568000570905873,0.01564091621016055,0.0010538537906617201,0.005290771455115824,0.014968194851236395,3.271417467883255e-05,0.005695297610317606,0.05363785397145709,0.0012193201112288984,0.0012151711240387928,0.001737998072961141,0.012386215259217665
1403.2,0.0029843424221505867,0.01566543018498701,0.0010995279850456686,0.008237072799205365,0.015188938933134223,6.5832801748901e-06,0.0029253854096877793,0.005772700773925089,0.0005966608209446619,0.0010316332464751043,0.0021436878612374768,0.012410003013643865
1403.6,0.00227599099598486,0.01566603848026941,0.0011209672243561,0.011428272382214095,0.01550772290711755,6.78055573968087e-05,0.001710974064723273,0.07417156189942156,0.0031797745054197206,0.00105460008948843,0.001384489353906061,0.01241690939837972
