Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2e-07,0.3715272984535388,4e-07,3.2e-07,118,0.19841076788447873,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.514372733123868e-07,0.3250740442288802,4e-07,3.2e-07,135,0.19807942139122023,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.137121151454557e-07,0.45570891279279924,6e-07,4.8e-07,132,0.18103481927948317,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.0208269035618393e-07,0.3213181219807944,5.923752018007917e-07,3.5296722558013266e-07,4,0.20031242133069163,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.414315668155368e-07,0.14828586571499908,5.444592395118469e-07,1.49799358691213e-07,140,0.23566398707004113,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.6643757661283865e-07,0.36692215414970564,5.51636110502175e-07,4.4130888840174e-07,90,0.19988697562014074,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.698989219121739e-07,0.4014009727119128,5.338092895579405e-07,1.1423337441430139e-07,126,0.1867535631944531,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
4e-07,0.49882828859218503,5.403472346723297e-07,4.322777877378638e-07,124,0.19999923890839683,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.590987435429756e-07,0.39508269428865794,4.4310938726619006e-07,3.5448750981295206e-07,75,0.01724683992818967,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2e-07,0.36879627540154813,4.396782540567514e-07,3.5174260324540113e-07,61,0.20055868303899305,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
4e-07,0.7377632258636169,5.051626862815855e-07,4.0413014902526844e-07,84,0.2000341350993916,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2e-07,0.6074300676252296,4.494966295512513e-07,3.5959730364100105e-07,62,0.2022768877734384,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.9790119764192957e-07,0.7480552508905547,6e-07,4.8e-07,78,0.1936673906166763,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.862261747325164e-07,0.5658765297689444,4.984707747884623e-07,1.6707954670372167e-07,239,0.2056033110940467,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.7921199963318336e-07,0.5919429976621058,4e-07,3.2e-07,99,0.19279266210610504,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.2037313084143377e-07,0.44046070371594825,4.0384213428266237e-07,3.2307370742612994e-07,97,0.1993920346561477,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.7321584298248416e-07,0.3291682689504894,5.301951359426579e-07,3.504366479323837e-07,149,0.152950338059103,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.4984440081571527e-07,0.8347977002802622,4.0684606105464175e-07,2.785986648123463e-07,282,0.19683498812964417,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.635936447359215e-07,0.5384929395368879,5.6135299992178e-07,4.0954541508334995e-07,335,0.19962010487055182,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.7154267656337916e-07,0.6066210814810102,4.53716219504411e-07,3.6297297560352883e-07,25,0.10501412548396798,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.3067365814008289e-07,0.7233234929340764,4e-07,3.2e-07,55,0.19433416599192027,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
4e-07,0.44329177944339304,4e-07,3.2e-07,104,0.0016446437698081529,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.4777392797634793e-07,0.613250749490611,5.566447120786997e-07,2.2841012047477203e-07,355,0.19224629349415523,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.8496148199902194e-07,0.5076194826343441,4.5725380770140314e-07,1.9326655749806155e-07,376,0.5304065039839211,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.2948511632933614e-07,0.32333798632644406,4.6951323519915466e-07,3.7561058815932375e-07,249,0.0829994189551295,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
4e-07,0.27395648867875844,4e-07,3.2e-07,97,0.01045216523572782,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.1003605435678586e-07,0.4161346933156208,5.948172046550533e-07,2.054639660171045e-07,158,0.1893126587191881,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.594605989265342e-07,0.31833306562008945,4.217796457815388e-07,3.3742371662523106e-07,260,0.19988499487043657,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.1163766779073465e-07,0.5865563372229581,4.790151740777527e-07,3.832121392622022e-07,89,0.12450486001820518,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
4e-07,0.46745187981774655,5.33955689483612e-07,4.271645515868896e-07,104,0.20001754533422195,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.0134250223953152e-07,0.43202548316809286,4.426467117727767e-07,2.3744192075823593e-07,66,0.1996340484536845,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.8805007527660067e-07,0.5276857159754699,5.659346831822337e-07,1.3945222404818804e-07,324,0.39522790550153153,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.3737241074554e-07,0.7384286734631251,5.669881827033142e-07,4.5359054616265134e-07,135,0.19942755295415407,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.8085532765877376e-07,0.21885512862106823,4.5477602173645414e-07,1.7459910592593785e-07,52,0.21652822848466008,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.462166188158888e-07,0.6574121505615806,5.10705820518906e-07,4.085646564151248e-07,54,0.1755075849531203,1,reflection_band,1450.0,8,20,0.2,0.6,0.2
