Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.147240069142731e-07,0.2565599260658713,4e-07,1.989727875813975e-07,134,0.46066918631414727,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
3.0646101298167156e-07,0.35100456277686554,4.344838978097158e-07,3.475871182477727e-07,63,0.0657798965416194,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
3.3685808349046897e-07,0.7422367435421438,5.280763577510244e-07,4.224610862008195e-07,376,0.3870144218016768,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
3.256403086144483e-07,0.3015954921758938,4.572732350030731e-07,2.742583859769051e-07,100,0.32496677829466136,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2e-07,0.5443412867080372,4.474493206595936e-07,3.579594565276749e-07,142,0.48978373907076306,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
3.771631830326024e-07,0.11817540598958445,5.668022004955781e-07,1.984276577715386e-07,49,0.4550593537835724,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2.664052054109838e-07,0.31100142563115685,5.459724950564579e-07,4.2413931216994263e-07,355,0.4975445702330879,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2.167983855302654e-07,0.4932879310677034,4e-07,1.3224614674073715e-07,96,0.04941902076646166,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
4e-07,0.2622078182386522,4e-07,1.5714307648715692e-07,81,0.19301150207584483,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2.3954995696146874e-07,0.6193993477452985,4e-07,3.2e-07,71,0.21004288118586903,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
3.3516750143224657e-07,0.6826105107944428,4e-07,2.6929582311226373e-07,129,0.17545037900419747,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2.9865837828252656e-07,0.8905173292670858,4.4880901988420567e-07,3.5904721590736455e-07,407,0.04982112398701492,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2.4927576414908453e-07,0.8836088919158981,4.1999616674747536e-07,2.775222127727712e-07,217,0.3680841973706993,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
3.4227898867923254e-07,0.17878398351380698,4.65738102331892e-07,3.7259048186551365e-07,43,0.4336948989764189,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
3.5234489529163494e-07,0.42143189449850793,6e-07,1.6483290200701488e-07,113,0.2765826169506276,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
3.455663722718772e-07,0.8874964271774815,4.0156457399271496e-07,1.278282231289602e-07,125,0.42934924465443836,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2.5496750439618967e-07,0.45940409339423666,6e-07,2.487579195683578e-07,56,0.48897573494795216,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2.4365653070897755e-07,0.4932427797552846,4e-07,3.2e-07,111,0.18646401253380818,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2.8416051721496753e-07,0.7763505111005898,5.664444778395836e-07,3.6100752599090726e-07,11,0.495427794350975,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2.248389856173039e-07,0.5765752398737335,4.32701678493359e-07,1.2377990708076088e-07,4,0.42701112544384273,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
2e-07,0.3721671961532219,5.876475453806242e-07,2.3052845623436533e-07,84,0.45954965277051785,1,reflection_band,1480.0,20,20,0.5,0.2,0.3
