Lambda,DC,w,N,w_c,H,alpha_param,beta,S,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.7844203679902087e-07,0.5358014768890239,5.524422779834094e-07,15,4.4195382238672756e-07,6,0.7599864683038359,-0.8483381555083183,3,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.4693531735444815e-07,0.47317139926179375,4.030650832268076e-07,319,3.224520665814461e-07,13,0.4662579716276535,-1.044357809465847,4,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.654498768350333e-07,0.46342722656594854,4.955009700836825e-07,111,2.1007101963046882e-07,1,0.9635389477597933,1.3582082992913478,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.0403702227505363e-07,0.8819292555401507,4.5130580324075033e-07,135,3.610446425926003e-07,9,1.6362936227939127,0.9046019861959107,3,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.7781747788169527e-07,0.6545656358140288,4.1885567990686527e-07,362,3.3508454392549225e-07,11,2.4856688313211532,-3.065441721485175,3,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.5912970856047743e-07,0.4163457417687323,4.0737549388516187e-07,97,2.7720203140761653e-07,1,1.009688484760573,1.4626532831991519,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.702912162401333e-07,0.8067469973866783,4.6296769736642643e-07,56,3.703741578931412e-07,12,0.7271507187220124,-1.3535044620581806,8,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.3480985300506474e-07,0.5209646887391085,4.674031286475182e-07,97,2.193824813973668e-07,1,1.0394121900929771,1.7290215724558502,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.3071571413119316e-07,0.8825549612934002,4.699923884800816e-07,398,3.7599391078406533e-07,14,1.2684903926584097,-1.6101459257245756,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.38152121958561e-07,0.8034994052761614,5.936929188212663e-07,221,2.698962359033496e-07,2,2.6868175761076825,-0.417549708850804,6,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.9809390742707917e-07,0.15686753107197113,5.349612705456026e-07,219,2.280304355625102e-07,11,0.515069556182585,0.66947400524352,3,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.6095913499834385e-07,0.44560966107847105,4.6620794872375187e-07,99,2.4238664026720896e-07,1,1.0256559385004,1.476456239898041,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.3574496057490266e-07,0.4818965413763735,5.097510983391862e-07,295,2.6502627101820667e-07,8,2.863987100533881,2.1655989735849475,2,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.750405360039655e-07,0.7343449698687142,5.044253827628946e-07,106,1.9872640828045015e-07,1,0.2865069968357884,-1.029652586325903,5,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.69179890504484e-07,0.8636319271278763,5.103040228688131e-07,213,2.6412409419511307e-07,3,0.7576028287473994,3.037468181002079,6,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.574043135249395e-07,0.4250413446453683,5.40192193035442e-07,118,2.7499874090364714e-07,1,0.9850437697685597,1.4559232730726528,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.8547028641851374e-07,0.6214918167310914,4.957814284595529e-07,14,3.9662514276764233e-07,4,0.4037775429339048,-0.4398457109037315,5,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.1357949925600165e-07,0.813992988352022,4.475271880217523e-07,327,3.5802175041740187e-07,4,0.6642454738316061,-0.05618828256463715,3,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.5722798585568055e-07,0.377528527288005,5.025838024148935e-07,17,3.134562007739122e-07,3,1.525106240517034,-1.9325253463279422,2,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.62446143438166e-07,0.1379333800952706,5.129541962726942e-07,261,2.0264249836431133e-07,14,1.9659638472820038,1.9656578864326932,4,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.8616412220323283e-07,0.3714608486329499,4.802485048064818e-07,153,3.841988038451855e-07,2,1.5676979710154426,-0.8528163323664781,7,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.8073915026745727e-07,0.572689741028366,5.101748324380775e-07,117,2.2743585623288925e-07,1,1.0116095417976851,1.3943345931157132,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.9860963160253105e-07,0.3556033820239378,4.935515940326622e-07,46,3.9484127522612977e-07,12,1.584145752755073,-0.3397740724525331,2,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4004768380477865e-07,0.4200868348612887,4.884666133300518e-07,103,2.723241191655658e-07,1,0.9967577070514217,1.8292299399575027,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.8082747389267505e-07,0.14427238656861371,4.96476745947154e-07,457,1.5858207515335533e-07,9,2.43498212431044,2.882801093302731,7,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0055341195223853e-07,0.7024009444325662,5.693255097391952e-07,196,3.6904164230238907e-07,8,2.688490180452838,2.693635373878631,4,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.491152005838399e-07,0.47163264119554105,4.741808877425728e-07,240,1.5269697733369499e-07,8,0.513435612000821,-0.8505203828940764,2,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.8816446698897175e-07,0.7269070171469012,4.496386407732749e-07,418,2.574883284863073e-07,5,1.5304952699465975,-1.5083842053506609,6,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4654830351421743e-07,0.57735312389526,5.345635318349609e-07,104,2.846170176592141e-07,1,0.9131933267333697,1.7956974057403898,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.433495671139504e-07,0.48476880481263607,5.681838560506945e-07,101,2.1569580068331952e-07,1,0.8254850418988045,1.7961947085739265,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4327948748935416e-07,0.4330650298615064,5.480693635634677e-07,103,2.0250109908887632e-07,1,0.8687407920020108,1.5737150865163108,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.2329202690599512e-07,0.5501430653847658,5.584050248344808e-07,166,1.591016341438736e-07,7,0.2754600942029433,-0.6162028599707483,2,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.6859318234445553e-07,0.1688935779142039,4.076325065369471e-07,3,3.261060052295577e-07,5,2.3176552119557665,-2.0859209252384785,6,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.4357290885248727e-07,0.5256768106459772,5.219536179104607e-07,103,2.622107286023836e-07,1,1.0012122289564898,1.5690275173872072,0,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.7274044067049656e-07,0.29311894108970127,5.703494857619633e-07,33,2.7046432711601787e-07,1,0.9801567658472681,-2.79864944105294,7,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0322659282946959e-07,0.41977761869031915,5.667456731330066e-07,12,1.3673424632376448e-07,9,0.6819170667831493,2.8073493348899956,2,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.7088266452577503e-07,0.586209112335866,4.398291919141977e-07,193,2.645046006016081e-07,1,1.9918393795517024,1.2789282811794025,1,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.144277486489646e-07,0.5284258648882997,4.334569358901113e-07,454,2.3274821362670342e-07,11,1.339765506374391,1.8310556998740126,1,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.7118619907658937e-07,0.19020536549665074,4.1004076522471663e-07,297,3.0616564197213284e-07,4,1.9591794164578573,-0.6670145337777393,3,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.501648676248871e-07,0.1772369980361849,4.1383800861141134e-07,132,3.1767239980152513e-07,2,2.2586442002286757,0.9269822605560276,6,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.925038230070586e-07,0.2751999610814546,4.633225909107656e-07,187,3.706580727286125e-07,3,1.7754941444060661,-0.23045505808775069,6,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.6473791560617927e-07,0.5175769341834785,5.770663301969919e-07,43,2.100958010086294e-07,9,2.4169189941679927,0.8493624232412911,1,-inf,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
