Lambda,DC,w,w_c,N,Fitness,generation,optimizer_type,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.0061900219326365e-07,0.5006095555401949,4.404159913292983e-07,2.2349108638976279e-07,480,0.0022447398802514,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.5684306534016765e-07,0.4388506477141675,4.012644438456372e-07,3.210115550765098e-07,364,0.0001086735257711,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.690174192306589e-07,0.8034961446797431,5.325318513694627e-07,1.674173438701689e-07,373,0.016913873656168,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.962607633026541e-07,0.4420553448026066,4.822431170394208e-07,2.415087781013166e-07,199,0.0008699320318587,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.973385725883952e-07,0.4287039556518416,5.182682563219596e-07,1.464944637666706e-07,164,0.0099647350795143,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.383394661662265e-07,0.1881401587175782,4.0586844707668253e-07,3.2469475766134604e-07,315,0.0001023148792191,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.0658556092456189e-07,0.2955543456962509,4.1102991079851293e-07,3.288239286388104e-07,429,0.0002110268566163,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.727062260119109e-07,0.5515164574383836,4.377595390668392e-07,2.1737817698666705e-07,373,0.0017367004850866,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.1311114911017267e-07,0.5370523050047192,4.734764408550284e-07,1.3951976394425198e-07,232,0.0141820110465694,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.106235080099011e-07,0.2662143656062236,5.558864180757484e-07,1.2439511850879686e-07,474,0.034417004985992,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.747532676860159e-07,0.6972082185131275,4.757790637346217e-07,3.806232509876973e-07,190,0.0001594508506391,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.50531229326825e-07,0.5808557575098304,4.189265041542748e-07,2.2649729118586745e-07,482,0.0003962385542774,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
3.570592461806826e-07,0.6572223920696653,5.139761809406896e-07,1.952277924287345e-07,291,0.0082292708694485,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
3.0556196862044415e-07,0.5777022751827274,4.28022382240022e-07,3.424179057920176e-07,490,0.2941577203865073,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
3.822322286700621e-07,0.4595129314324551,5.134306378759232e-07,1.5108220601758057e-07,70,0.1782859840106081,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.121569223216668e-07,0.6962614308914455,5.295208994972739e-07,1.0800036089946705e-07,205,0.0121054598842297,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.425047498436849e-07,0.2614793306865212,5.625555421286701e-07,3.450292568008532e-07,280,6.209890327803898e-06,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.880675010814511e-07,0.1065870964367726,4.5325523294049174e-07,1.668016793376489e-07,15,0.0071972002048586,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.070892522540257e-07,0.3364672761561951,5.573834714151565e-07,3.330989238571061e-07,324,8.923922432023311e-06,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.470187275700785e-07,0.3200539381109372,5.742181646429042e-07,1.0071676274970286e-07,420,0.0229182254815751,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.964401968784656e-07,0.6731775573108731,5.256357937254376e-07,2.973521800036442e-07,263,0.2477971211866137,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.143097706223262e-07,0.1606110437500103,5.458474464242785e-07,2.550259336906792e-07,277,0.0012369420750826,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.340945552535489e-07,0.5076205304192639,5.658484748620354e-07,3.691383960403272e-07,212,9.823340550401132e-06,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
3.403992660909898e-07,0.2811931209478344,4.17600223917101e-07,3.340801791336808e-07,242,3.591305982774656e-05,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
3.360523378574802e-07,0.3673341348112953,5.250656804871303e-07,3.560266442771385e-07,113,7.100850647501152e-05,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.1619718043819818e-07,0.6436565091865987,4.918031263316602e-07,3.934425010653282e-07,298,1.7744913574902782e-05,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.2780216687380362e-07,0.555953980679221,5.105670498962635e-07,1.9769709895934214e-07,466,0.0058414364689252,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
2.369845251942127e-07,0.4280629750415438,4.5504303942119273e-07,2.798744611795303e-07,77,0.001487035477464,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
3.649934614995263e-07,0.589691594330705,5.123756023054033e-07,1.6613482339416145e-07,470,0.1917614011127102,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
3.5537213991623645e-07,0.6229715070864648,5.190434289805799e-07,3.372184623479289e-07,288,0.0471083131962181,1,WOA,reflection_band,1450.0,8,20,0.2,0.3,0.5
