Lambda,DC,w,N,w_c,delta_s_max,P,M,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.3207202934684254e-07,0.8370093650845871,4.3125343055926526e-07,166,3.450027444474122e-07,6.456187906293222e-08,1.0137594783050141,4.311840855941732,0.44895532786713144,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.701101417812255e-07,0.1929772048431672,5.344024693028421e-07,322,2.809912067535031e-07,1.3505507089061274e-07,9.789511137385922,3.444339365771467,0.44895532786713144,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
