Lambda,DC,w,w_c,N,Fitness,generation,optimizer_type,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.9733886858900475e-07,0.15871060267097895,5.617575516585522e-07,1.1497195242882567e-07,325,0.08397345900088378,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.0971479721459064e-07,0.5979500047163039,4.39028519398089e-07,1.2475939696480025e-07,370,0.01733722066199589,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.0033835349069745e-07,0.7851286062312058,5.139151880734165e-07,3.7603842419539247e-07,458,6.3644543409520775e-06,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.0811507104406366e-07,0.24587738460463432,5.214396578875562e-07,2.2372000070408848e-07,427,0.008599232508931928,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.436247123991871e-07,0.7984643044899358,5.49402832326313e-07,1.3983900837130779e-07,406,0.021472221211247675,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.0173073795604727e-07,0.2966486228508508,4.473533426955039e-07,3.2600164961656553e-07,377,0.0016277559174735791,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.495100835642445e-07,0.4851718126022493,5.31481551288196e-07,2.0150442245343198e-07,366,0.007256121846912569,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.855357487508785e-07,0.19256462511485656,5.358234763980566e-07,1.788870040837218e-07,301,0.04951882239045654,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.0778667507898285e-07,0.7911264887141267,4.469647834858944e-07,2.0271151987589543e-07,96,0.009973445001934849,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.817338287611584e-07,0.2338656245008698,5.417700083683491e-07,1.8250900932859184e-07,371,0.07097789873518802,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.3309646366784696e-07,0.2154178827791432,4.785977309265723e-07,3.385054816891539e-07,81,0.0009509424370949028,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.605852952672584e-07,0.2171273293210252,5.192192543353026e-07,1.288055211152631e-07,116,0.029515974968851423,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.6006336113597624e-07,0.14384696663662266,5.46499377468179e-07,2.8026295962121146e-07,151,0.0006551663464224045,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.3319444194323524e-07,0.1276930221485916,5.564403836129273e-07,3.961191930311589e-07,303,2.4527989861555774e-05,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.1896967364152358e-07,0.28640699775097256,4.2839486442847585e-07,1.6241101743118648e-07,227,0.012076535672029891,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.641730311859011e-07,0.20869120084928705,4.198614748054965e-07,2.4157894645613535e-07,228,0.003368455732383076,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.1220799554780593e-07,0.22809576896685915,4.647696034114297e-07,3.603668657161383e-07,250,0.0001597689234018781,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.3781478743688745e-07,0.5564416218807394,4.777604268010578e-07,3.38930911085466e-07,408,0.4384555582411412,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.1333441136931407e-07,0.8903375837693437,4.3133057391460696e-07,2.3668510159033278e-07,295,0.009469740968996216,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.8351720736018103e-07,0.7767131814703958,4.0160966189974936e-07,3.212877295197995e-07,286,0.000872606037612211,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.0173075074431156e-07,0.14872313197423948,4.6531445959115446e-07,1.2643380629408107e-07,439,0.04640183647006294,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.2379898707299114e-07,0.5661837835019476,4.1791548409463894e-07,3.3433238727571116e-07,92,0.00027094763830698773,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.283691195498007e-07,0.49349229276751083,5.418259597386866e-07,1.7510953220123923e-07,33,0.030690927544292167,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.8634398274043136e-07,0.4052815676257623,4.982634643696935e-07,2.9619874261484513e-07,80,0.0036996880806956993,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.405991433651881e-07,0.19863091629502228,4.79205787617427e-07,1.2204420428494189e-07,38,0.19480850390534504,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.0132977381809959e-07,0.592117135380928,5.576774688179688e-07,2.4922707383540216e-07,433,0.004296570361735605,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.043853154869317e-07,0.43837211564139056,5.875168788184082e-07,3.6623574255155465e-07,181,2.648979346632904e-05,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.1294589555018747e-07,0.5686126162922843,4.7247674655613617e-07,2.881564975259794e-07,271,0.0034197979233336804,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.5071271116929244e-07,0.814617760638482,4.564099301557579e-07,3.4634613395174986e-07,238,0.08344340913053534,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.2112458411022894e-07,0.351807123925555,5.650190997303976e-07,4.1290370197774625e-07,39,1.803741277234894e-05,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.537974180614533e-07,0.6513755296554928,4.501453244206567e-07,3.548663982350955e-07,319,0.0218085405585197,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.1287536353666376e-07,0.45893271686234105,5.801889338728498e-07,1.2086184083343925e-07,331,0.025953254395120844,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.214152377525703e-07,0.6762328257367817,5.887282465105721e-07,4.42710467645066e-07,286,3.2680078865785076e-05,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.823854932395526e-07,0.8144439085211602,5.380586341173579e-07,3.130751837809542e-07,312,0.009184216809113516,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.091089871261682e-07,0.6612374186846559,5.268412072996749e-07,3.984447072014185e-07,163,0.00014488892723664486,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.728149901052179e-07,0.35475443252879724,5.820503994304017e-07,3.800130956600821e-07,418,0.00018782075198556177,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.570331996299924e-07,0.7117033104406509,5.121931368675431e-07,2.1377047052857836e-07,497,0.0013431305225133365,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.1942351892622014e-07,0.3231037528674233,5.026969629453926e-07,1.461481089304938e-07,18,0.13956363652807346,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.7754235272527587e-07,0.6884964646965662,5.85771247334305e-07,2.198204284505926e-07,390,0.03173789670652409,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.320409043870741e-07,0.13456127688608632,5.726010360511993e-07,4.275464015147378e-07,442,1.3131244867091273e-05,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.3284792867039674e-07,0.5848861894604317,5.132854805843641e-07,2.9875236543414383e-07,471,0.010095215448940594,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.6827257720106385e-07,0.4425971682788463,4.5651808657960856e-07,3.0828855998810346e-07,428,0.0030870725939034353,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.068242261294869e-07,0.8675203305878163,5.679178747625333e-07,3.8187369106906374e-07,357,9.329554712575205e-05,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.3424563485819071e-07,0.14239671448357596,5.101989197691338e-07,2.0015617147227655e-07,30,0.1189379461798233,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.3995058664227505e-07,0.3290188446613434,4.967131513902179e-07,3.973705211121744e-07,104,7.449503896811604e-05,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.912396464863916e-07,0.6058349196771793,5.996577330039357e-07,1.141284222509833e-07,46,0.0307848704423188,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.433587739091659e-07,0.5146419334752176,5.93387792945294e-07,3.1640982799082046e-07,228,0.25625705447155,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.741859720057358e-07,0.3764957016666217,5.803161165702228e-07,2.7742093427993847e-07,296,0.0011009380700418507,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.402031421894352e-07,0.8478416011658712,5.160112353929646e-07,2.652757621630713e-07,33,0.08638314227912268,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.8222790386322485e-07,0.7001745650575131,5.188109688154585e-07,3.0526002986192185e-07,283,0.3658746780203764,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.923873840484827e-07,0.26209515937150696,4.100964935851236e-07,1.671593272591632e-07,469,0.153244593487789,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
