Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.2581269381355117e-07,0.5896196607454655,6e-07,3.0590568468155276e-07,81,0.21280392829586342,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
2.7677349716459887e-07,0.24565158862148487,4.4863416324677556e-07,2.3143438342144944e-07,149,0.49181972390903494,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.613192872581028e-07,0.3473595045601273,6e-07,1.3635661574321158e-07,52,0.2861605838861448,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.0384555459027416e-07,0.7146386283391077,5.516675102432546e-07,1.357753855935061e-07,135,0.44444493352509434,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.0226904138366927e-07,0.5355747875039052,6e-07,1.3998572069737274e-07,98,0.4252840471528399,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
2e-07,0.2734854934385183,4e-07,3.1179199975640626e-07,103,0.1707710429817359,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
2.425434254070727e-07,0.6789903543484866,6e-07,3.224123749393616e-07,142,0.44397373141119906,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.3025363983511763e-07,0.11470144780983667,5.938476812953041e-07,2.638278223381304e-07,445,0.48912191442042574,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
4e-07,0.6795072504963733,4e-07,3.2e-07,58,0.13956266385205013,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
2.8972547934651975e-07,0.6762879642302433,5.41887736922978e-07,1.3281880440621937e-07,55,0.4346332239404751,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.1137906939325875e-07,0.30791791397433854,6e-07,1.8072101479555539e-07,101,0.4101284924553339,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.7331317195951354e-07,0.5543148445860381,5.280981895886711e-07,2.819918668731018e-07,498,0.08323462767680509,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.481479820166988e-07,0.5756636811085152,4.3254077040031144e-07,2.6913654705331263e-07,246,0.06818848480072853,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
2.037633256136246e-07,0.44296247828434854,4e-07,1.6022401569895972e-07,117,0.46611461917267183,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.0925729423910563e-07,0.498400273259076,5.588880885311127e-07,2.5787676366849353e-07,42,0.1947749582097507,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.362598247704473e-07,0.5788392957373414,6e-07,2.6526712499966287e-07,146,0.08625702920326936,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
2e-07,0.5707274738439652,6e-07,3.4728507978428615e-07,75,0.4999663711671398,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.5825393916695995e-07,0.4406513321861708,4.843825483084773e-07,2.5112740952559286e-07,364,0.1785648931073449,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
3.3961639246752815e-07,0.5184557031394921,5.37671739754055e-07,2.556207784079834e-07,134,0.5142820124054024,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
2e-07,0.509551269838112,5.065515390958945e-07,3.5020846736979485e-07,131,0.49967512455885454,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
2.1300347787080292e-07,0.7462302108250326,5.325071549988386e-07,2.805095415273838e-07,116,0.45317305133841523,1,reflection_band,1470.0,5,20,0.5,0.2,0.3
