Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.4348635041359916e-07,0.4120323630438282,5.870184035837966e-07,1.4038812290109791e-07,237,0.39908091715451444,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
3.376457552701042e-07,0.12348238658758026,4.772190094694553e-07,3.8177520757556423e-07,221,0.5012065156793318,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
3.8487248409083406e-07,0.8983718281711888,4.520716034630842e-07,2.4013907063055366e-07,403,0.3688038488171639,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2.583196787260964e-07,0.41813679676085996,4e-07,3.2e-07,120,0.1724357856101907,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
4e-07,0.4833793975934942,4e-07,2.6919730877695895e-07,140,0.016846219935561152,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2.7939461597965774e-07,0.6093787349921903,4.6697853452991423e-07,3.7358282762393143e-07,7,0.48443362040267557,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2.488056874209541e-07,0.3882339310378923,4.779856999321349e-07,2.5871529185037983e-07,372,0.4920113463567162,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2e-07,0.3763544378939904,4.47360928909926e-07,3.0176559844120586e-07,111,0.49483783682727156,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
3.5200340874805657e-07,0.710380959553208,5.502892634120324e-07,4.402314107296259e-07,396,0.49918519967963565,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2.3082024969791293e-07,0.1769745121100054,4.41201513779609e-07,3.5296121102368723e-07,95,0.498849476009561,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2e-07,0.6626859795659366,5.474215845990527e-07,3.361841368355267e-07,112,0.4993088805974992,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
3.315421630392067e-07,0.48112746106648896,4.992414074070115e-07,3.13550406272901e-07,114,0.37676499405782443,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2.921466081588059e-07,0.7117800475320496,5.623153987769514e-07,1.4349950012866835e-07,420,0.44826846109845275,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2.875670431514515e-07,0.43746326560500737,4.732196396289193e-07,3.6087570252034273e-07,270,0.09153736223996918,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
4e-07,0.2860144815249432,5.875151875692064e-07,3.707555155083645e-07,104,0.4968818043460395,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2.431819033716408e-07,0.30520878617078023,5.948430312936546e-07,2.1932040457179331e-07,78,0.49252588564956606,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
3.5375543053811506e-07,0.5989852910667302,5.625865885119117e-07,2.8091902202265623e-07,147,0.09048782286223225,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
3.850158925160132e-07,0.6370672020638916,5.339845063030131e-07,1.9372985282112064e-07,167,0.14208195071115598,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
3.6855070055322035e-07,0.5738852739806996,4.879280892060932e-07,1.2395256555570976e-07,442,0.21082225908185506,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2.744221660967757e-07,0.5265331402216794,4.1412016518929394e-07,3.3129613215143515e-07,93,0.4796805708713854,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2.830988580024602e-07,0.5944048061064211,6e-07,1.9164429031947868e-07,144,0.49353162224308345,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
3.8910746289932683e-07,0.8157750708356309,4.94676092444261e-07,1.75881028893728e-07,117,0.361103939347818,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
2.6931978740919654e-07,0.4171570340764176,4.912710583840256e-07,1.974953489585424e-07,289,0.4219249281361723,1,reflection_band,1510.0,10,20,0.5,0.2,0.3
