Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.4952059106069123e-07,0.5973556353618512,6e-07,3.434569154485996e-07,94,0.49878087401256366,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.4952059106069123e-07,0.8829199393599184,5.998220253146328e-07,4.4459150514173603e-07,207,0.1844780833053251,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1506357128744524e-07,0.40557493451814736,5.024876064604795e-07,2.354771191670395e-07,67,0.412118807616782,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1506357128744524e-07,0.40557493451814736,5.024876064604795e-07,2.769547981077901e-07,136,0.49746133207403337,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.2112887930647246e-07,0.6909092360461373,4.32785859986843e-07,2.0620646646575487e-07,48,0.2105095648481741,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1048359779508033e-07,0.4923486364902063,4.260563380314168e-07,2.1864883060561858e-07,45,0.20063533728076086,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1025043476157024e-07,0.6121741029966905,5.494874156390557e-07,4.1840320967919875e-07,143,0.09188342279183284,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.510339657798456e-07,0.6909092360461373,4.32785859986843e-07,2.0620646646575487e-07,193,0.04852286379379013,1,reflection_band,1500,5,20,0.5,0.2,0.3
3.590122966646081e-07,0.25920894664739996,5.5573938142717e-07,4.4459150514173603e-07,144,0.4994405645514974,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.4952059106069123e-07,0.8829199393599184,5.998220253146328e-07,3.9240927483012793e-07,69,0.4730227854578836,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1048359779508033e-07,0.4923486364902063,5.382428348972821e-07,3.434569154485996e-07,94,0.18033738944577404,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1600413104609556e-07,0.7038329626206997,4.260563380314168e-07,2.1864883060561858e-07,124,0.4290979144812514,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1048359779508033e-07,0.4923486364902063,4.6702590288501086e-07,2.3746591825911935e-07,327,0.48821306864538344,1,reflection_band,1500,5,20,0.5,0.2,0.3
2e-07,0.25364946469255356,5.056407664805918e-07,3.9240927483012793e-07,50,0.001202215436612498,1,reflection_band,1500,5,20,0.5,0.2,0.3
2e-07,0.25364946469255356,5.056407664805918e-07,4.0451261318447347e-07,207,0.387345206216963,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.0505525666827102e-07,0.27243724268249886,5.656372257619995e-07,2.0255149563716425e-07,86,0.4277069908685721,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.625003120803305e-07,0.11817223933457895,5.260711588519482e-07,4.2085692708155857e-07,262,0.06207967737464799,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.451402304242493e-07,0.2720771374156888,4.6702590288501086e-07,2.3746591825911935e-07,173,0.46964952669807686,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1600413104609556e-07,0.7038329626206997,5.024876064604795e-07,2.769547981077901e-07,136,0.32977991896239517,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.625003120803305e-07,0.5973556353618512,5.02758488055612e-07,3.500067021167741e-07,86,0.4931227146419,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.976763684753035e-07,0.25216092637220033,4.861454718710266e-07,1.9652217779562744e-07,138,0.19528402035401485,1,reflection_band,1500,5,20,0.5,0.2,0.3
3.0072860220737937e-07,0.2720771374156888,4.6702590288501086e-07,2.3746591825911935e-07,69,0.2459932684322792,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.4068349146090283e-07,0.30684228712054007,4.740602158648239e-07,3.7924817269185916e-07,259,0.2270318363173351,1,reflection_band,1500,5,20,0.5,0.2,0.3
3.590122966646081e-07,0.7038329626206997,4.260563380314168e-07,2.1864883060561858e-07,45,0.4890530415201584,1,reflection_band,1500,5,20,0.5,0.2,0.3
4e-07,0.7088282916344462,5.02758488055612e-07,3.500067021167741e-07,48,0.349105283412128,1,reflection_band,1500,5,20,0.5,0.2,0.3
3.590122966646081e-07,0.25920894664739996,5.5573938142717e-07,4.4459150514173603e-07,48,0.47241934043546147,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.2112887930647246e-07,0.4923486364902063,5.382428348972821e-07,3.66828399205595e-07,121,0.3800573130512318,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.4068349146090283e-07,0.30684228712054007,4.740602158648239e-07,3.7924817269185916e-07,121,0.4401331290414557,1,reflection_band,1500,5,20,0.5,0.2,0.3
2e-07,0.6914362471935716,6e-07,2.784061386356096e-07,50,0.4846071748384886,1,reflection_band,1500,5,20,0.5,0.2,0.3
3.590122966646081e-07,0.272427791477548,5.547397401156033e-07,3.6654976534524386e-07,67,0.4999465737976564,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.4952059106069123e-07,0.8829199393599184,4.5709469211521586e-07,3.656757536921727e-07,48,0.4879036497075211,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1506357128744524e-07,0.40557493451814736,5.024876064604795e-07,3.1762846140619703e-07,124,0.2696000091733305,1,reflection_band,1500,5,20,0.5,0.2,0.3
3.167285640058906e-07,0.7220207880150611,4.32785859986843e-07,2.0620646646575487e-07,193,0.4899090903160934,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.4952059106069123e-07,0.8829199393599184,5.998220253146328e-07,3.9240927483012793e-07,470,0.43829009295591165,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1025043476157024e-07,0.6121741029966905,5.397852294539207e-07,4.1840320967919875e-07,144,0.4671998869381292,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1600413104609556e-07,0.7038329626206997,5.416722680680504e-07,4.333378144544404e-07,167,0.4703086696713997,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.2112887930647246e-07,0.6909092360461373,4.32785859986843e-07,2.0620646646575487e-07,143,0.4437252569456636,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1600413104609556e-07,0.7038329626206997,5.494874156390557e-07,4.1840320967919875e-07,143,0.49544779887398177,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.4952059106069123e-07,0.8829199393599184,5.998220253146328e-07,2.3746591825911935e-07,327,0.4886998454544676,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.625003120803305e-07,0.25920894664739996,5.5573938142717e-07,4.4459150514173603e-07,207,0.08799387867226419,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.625003120803305e-07,0.5973556353618512,6e-07,3.434569154485996e-07,124,0.42698624845315414,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.0693771368610427e-07,0.6235188364085181,4.935880677439677e-07,2.981922463726894e-07,58,0.1882502697462303,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.4952059106069123e-07,0.8829199393599184,5.998220253146328e-07,2.769547981077901e-07,136,0.40924223413685,1,reflection_band,1500,5,20,0.5,0.2,0.3
3.783731923624458e-07,0.8829199393599184,5.998220253146328e-07,4.1840320967919875e-07,143,0.06233945373836164,1,reflection_band,1500,5,20,0.5,0.2,0.3
3.347673043382114e-07,0.567914520992916,6e-07,3.0243776345424475e-07,124,0.22167901207826082,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1025043476157024e-07,0.6121741029966905,4.6702590288501086e-07,2.3746591825911935e-07,327,0.4946684521638285,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1600413104609556e-07,0.7038329626206997,4.260563380314168e-07,3.4084507042513345e-07,94,0.493063979877933,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.1506357128744524e-07,0.40557493451814736,5.024876064604795e-07,3.7924817269185916e-07,48,0.03909217419373979,1,reflection_band,1500,5,20,0.5,0.2,0.3
2.4068349146090283e-07,0.30684228712054007,4.740602158648239e-07,3.7924817269185916e-07,50,0.4999674003618372,1,reflection_band,1500,5,20,0.5,0.2,0.3
3.6513763062442457e-07,0.801496340423636,5.02758488055612e-07,3.500067021167741e-07,86,0.4095052621402572,1,reflection_band,1500,5,20,0.5,0.2,0.3
