Lambda,DC,w,N,w_c,H,alpha_param,beta,S,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.743007135115363e-07,0.48059390569212945,4.5851667287287137e-07,44,3.428863254611708e-07,8,1.2861949283066343,-0.9527418412019095,6,-inf,1,reflection_band,1450.0,10.0,20,0.5,0.2,0.3
2.394418430339656e-07,0.39435654802349507,4.5894487577398685e-07,457,1.594194898935249e-07,10,0.142890694739291,0.6552748460504043,1,-inf,1,reflection_band,1450.0,10.0,20,0.5,0.2,0.3
