Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy
4e-07,0.6789625063427482,5.967855051016399e-07,1.3025225481590336e-07,95,-inf,1,delta_amp
2.612835772314838e-07,0.5578217829793628,5.205223421273735e-07,2.659117283212914e-07,367,-inf,1,delta_amp
2.0529516503519864e-07,0.38378774164160756,5.872653733120171e-07,4.6981229864961373e-07,458,-inf,1,delta_amp
2.0529516503519864e-07,0.38378774164160756,5.872653733120171e-07,1.3025225481590336e-07,95,-inf,2,delta_amp
2.612835772314838e-07,0.6789625063427482,5.967855051016399e-07,1.3025225481590336e-07,95,-inf,2,delta_amp
4e-07,0.6789625063427482,5.900999787907819e-07,2.659117283212914e-07,367,-inf,2,delta_amp
