Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.3818186164023462e-07,0.4083313251580933,6e-07,3.455297970447764e-07,373,0.24392146957983474,1,reflection_band,1485,5,20,0.5,0.2,0.3
3.780782994807239e-07,0.6242979063129397,5.715558123020267e-07,2.3980028965457923e-07,19,0.4999466764517715,1,reflection_band,1485,5,20,0.5,0.2,0.3
3.2117424392565226e-07,0.6982006973708454,6e-07,4.011824134657935e-07,223,0.42806726380242593,1,reflection_band,1485,5,20,0.5,0.2,0.3
3.651491849459299e-07,0.6750590447228337,5.774362900598785e-07,3.377293544151677e-07,322,0.2018012055864004,1,reflection_band,1485,5,20,0.5,0.2,0.3
3.3045005018029585e-07,0.3,4.283218130488804e-07,3.4265745043910436e-07,299,0.4870410585075245,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.6464430221245165e-07,0.4203613061475448,5.523317059387896e-07,3.439296309091026e-07,135,0.21793856092767533,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.3818186164023462e-07,0.4083313251580933,6e-07,1.7525419660063804e-07,76,0.32986061222322605,1,reflection_band,1485,5,20,0.5,0.2,0.3
4e-07,0.3775416073824069,5.403773227010811e-07,4.2711122745486635e-07,473,0.4957520894721939,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.3053544770529329e-07,0.4083313251580933,6e-07,2.3082614168137137e-07,79,0.49007641318590695,1,reflection_band,1485,5,20,0.5,0.2,0.3
2e-07,0.3473001893172679,5.552828464622729e-07,4.1795404774551157e-07,10,0.46341500348233267,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.5959573801411815e-07,0.43418524433868194,5.552828464622729e-07,4.1795404774551157e-07,373,0.04108631493636969,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.5959573801411815e-07,0.3775416073824069,5.403773227010811e-07,4.2711122745486635e-07,473,0.0348697940237261,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.914351130540823e-07,0.3415863549844867,6e-07,2.3082614168137137e-07,79,0.23705071423413088,1,reflection_band,1485,5,20,0.5,0.2,0.3
2e-07,0.4624179949101569,4.691587438726009e-07,3.753269950980807e-07,401,0.4911804627138845,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.0531959434669183e-07,0.6242979063129397,5.715558123020267e-07,4.5724464984162137e-07,46,0.5113922435783428,1,reflection_band,1485,5,20,0.5,0.2,0.3
3.3045005018029585e-07,0.3,5.523317059387896e-07,3.4186044224039667e-07,90,0.4966837503204264,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.1334723376809602e-07,0.4203613061475448,4.030207673367782e-07,3.2241661386942256e-07,473,0.12523817547467223,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.0531959434669183e-07,0.6862289525466159,5.203222918211408e-07,4.011824134657935e-07,223,0.4816288382859902,1,reflection_band,1485,5,20,0.5,0.2,0.3
3.3045005018029585e-07,0.6795969844125473,5.763819981324133e-07,3.591911720727293e-07,59,0.44383953118829333,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.1334723376809602e-07,0.4203613061475448,4.030207673367782e-07,3.063187777234778e-07,59,0.03135360397177838,1,reflection_band,1485,5,20,0.5,0.2,0.3
2e-07,0.3473001893172679,4.283218130488804e-07,3.4265745043910436e-07,299,0.4934561696741498,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.517544633796765e-07,0.56693736830265,4.283218130488804e-07,3.4265745043910436e-07,299,0.49379516408509605,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.914351130540823e-07,0.3415863549844867,5.181036080783e-07,2.281545901552047e-07,374,0.06679290918691283,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.0836237213087095e-07,0.3810884930089087,5.739060061557334e-07,2.915084900971999e-07,196,0.014194190264295617,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.5959573801411815e-07,0.43418524433868194,5.523317059387896e-07,3.439296309091026e-07,135,0.1603581095086203,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.3818186164023462e-07,0.4083313251580933,6e-07,1.7525419660063804e-07,76,0.49692273853689356,1,reflection_band,1485,5,20,0.5,0.2,0.3
2.1648026079081906e-07,0.3,5.523317059387896e-07,3.439296309091026e-07,135,0.27969149734823906,1,reflection_band,1485,5,20,0.5,0.2,0.3
3.9116222797983e-07,0.4462855420250967,6e-07,2.3082614168137137e-07,59,0.4897699480652739,1,reflection_band,1485,5,20,0.5,0.2,0.3
3.780782994807239e-07,0.6862289525466159,5.763819981324133e-07,2.1961745894015958e-07,59,0.4988586723888659,1,reflection_band,1485,5,20,0.5,0.2,0.3
