Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy
2.0720680426988284e-07,0.3,4e-07,3.2e-07,144,0.10324642270060054,1,reflection_band
3.913991643375219e-07,0.34702489269724657,4e-07,1.7218463382253958e-07,94,0.26467775866028737,1,reflection_band
2.9141677978870574e-07,0.5407068703521917,4.1956186378886107e-07,3.356494910310889e-07,135,0.025673242466961628,1,reflection_band
2e-07,0.47259258420875405,6e-07,3.327510114936672e-07,130,0.2999696798634275,1,reflection_band
2.2140130450681036e-07,0.34942664199635953,4.172482203031547e-07,1.897094461814161e-07,117,0.2433299775276796,1,reflection_band
2.9763094308803037e-07,0.6116804604505646,4.975179805958002e-07,3.3006980736479166e-07,315,0.3642184827751303,1,reflection_band
2.8536515058685535e-07,0.32628001605758156,4.362783868867839e-07,3.4896044834241795e-07,134,0.27942557960533854,1,reflection_band
2e-07,0.5831274432709443,4.962211842794467e-07,3.7481117701297187e-07,68,0.2999344825862326,1,reflection_band
3.954756871770887e-07,0.503867477352328,4.896257168530175e-07,2.9767607258659927e-07,473,0.07302445543447747,1,reflection_band
2.659248778732628e-07,0.648382579457774,4.653935883019106e-07,3.71263804353296e-07,64,0.29577628330319145,1,reflection_band
3.4401805637361847e-07,0.5211412090294969,4.2667989824347926e-07,1.8867036033942327e-07,63,0.05486157015918161,1,reflection_band
4e-07,0.590768292105001,6e-07,3.0538512266084494e-07,110,0.2572278874419428,1,reflection_band
2.3994307042676006e-07,0.3754921090224207,4.182283215691552e-07,1.1524197335080852e-07,405,0.29506636630176175,1,reflection_band
3.2676946906363884e-07,0.652462998349489,4.0838677649585306e-07,1.7247080927236734e-07,61,0.03959321763055853,1,reflection_band
2.955182325364653e-07,0.3243991705158889,4.614066187183841e-07,2.9548594573257e-07,280,0.2994217607976459,1,reflection_band
2.2708251633030697e-07,0.37742046121865624,5.198375773586866e-07,4.158700618869493e-07,16,0.29986432842869865,1,reflection_band
2.7243392565031956e-07,0.4682586694175478,4.19685833899653e-07,3.2335761983294716e-07,421,0.29680060567858785,1,reflection_band
3.45023899522512e-07,0.5477322027849003,4.204986554756199e-07,3.363989243804959e-07,122,0.24324364802555562,1,reflection_band
