Lambda,DC,w,w_c,N,Fitness,generation,optimizer_type,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.673627254032955e-07,0.5444308493459344,5.150551535988324e-07,3.375039629797452e-07,141,0.1744905551255847,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.373672407496404e-07,0.5955256570001695,4.947753372700662e-07,1.5191525294268105e-07,387,0.190130848309762,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.693402826878085e-07,0.2970530711207655,5.19263754287017e-07,2.740412935090411e-07,68,0.0816530573238663,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.793615869287705e-07,0.3693350176640027,4.86899966039635e-07,1.916635105328697e-07,340,0.4582753953105518,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.184147899724822e-07,0.6097347161551859,5.781614388740739e-07,1.8343617347892545e-07,91,0.2021008685912061,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.928837591687799e-07,0.7285446030720307,4.389071146155733e-07,2.6556956509495205e-07,18,0.1808117722158462,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.2141873186114283e-07,0.3584187901235965,5.519585784399993e-07,2.2631601146847197e-07,474,0.2036082361033989,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.050742300007572e-07,0.3318975304829407,4.957974177571162e-07,3.036365016430215e-07,328,0.1020418835927159,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.363929496935612e-07,0.5623534351775318,5.373387170646986e-07,3.5199356803325805e-07,380,0.1999969453535372,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.377172704096458e-07,0.2941678464327253,4.35294792932287e-07,3.482358343458296e-07,405,0.0110976249861608,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.325364868293605e-07,0.4281551837352435,5.830974667558387e-07,1.5758336776873565e-07,307,0.1615464681836967,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.41786706495674e-07,0.8204104560258499,5.91683841445129e-07,1.1180353787155349e-07,193,0.0731337722724465,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.9002318852648733e-07,0.2238844502409059,4.418353708809016e-07,2.100436442969284e-07,146,0.2156675511257915,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.940496815888966e-07,0.4740171942814561,4.330485658983561e-07,2.617508520140031e-07,408,0.1985060063185811,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.61804070227661e-07,0.4295411270029905,5.650424809697077e-07,2.575721110792656e-07,27,0.1951971781588535,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.45237601966128e-07,0.8348868818941616,4.052020153121387e-07,3.2416161224971096e-07,476,0.1995285862031947,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.215706366928299e-07,0.457863969268402,5.70316548084609e-07,1.3610447460581206e-07,87,0.1755758152638281,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.3186288604512017e-07,0.5422586383527419,4.782417016322435e-07,3.1500595698092377e-07,496,0.0562612234567,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.026773597425393e-07,0.8204936401193743,4.337368590452096e-07,3.469894872361677e-07,119,0.1988908125393994,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.8060115202201455e-07,0.4998185124259325,4.136112252440396e-07,1.1744011928705432e-07,195,0.2102447750496221,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.873544019750618e-07,0.2893035003477931,4.011251905913765e-07,2.85578280080719e-07,123,0.0087245716431279,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.456202231691013e-07,0.4559782688119833,4.194976993732056e-07,1.4219036838501805e-07,47,0.2337338189789703,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.2930415172406726e-07,0.1961215355541416,4.55369932657595e-07,3.293804465813389e-07,129,0.1995999549983086,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.811785956200441e-07,0.6799708213818084,5.082418137263009e-07,2.4520608076105336e-07,45,0.1780669348176979,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.912999388335904e-07,0.5154603081197174,4.183355099595665e-07,3.346684079676532e-07,399,0.1835079723519674,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.701476276068718e-07,0.4449542202998863,5.58220249323779e-07,1.630047109176909e-07,414,0.1802547218588483,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.0005426776079887e-07,0.3627650444535442,5.870380742785547e-07,1.548092384363976e-07,84,0.1925279477089123,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.594941690180787e-07,0.2551672385158758,5.802059917654213e-07,2.683487737430215e-07,12,0.205689491374984,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.2717415701085675e-07,0.166727050941687,4.491077106310465e-07,2.643164486733286e-07,173,0.1968748943409726,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.0889510765526586e-07,0.3953052198826116,5.173478827774327e-07,3.678196400705729e-07,285,0.1961728580968219,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.386909259409429e-07,0.5417758527736533,5.102885071745814e-07,1.7068772929023157e-07,485,0.2052777654638456,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.019322932997774e-07,0.1356709152904228,5.271106319021333e-07,4.216885055217067e-07,425,0.2003093314072867,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.203040055824885e-07,0.7553073820375097,5.055813775636055e-07,1.0978111666696213e-07,191,0.1992330655196899,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.192472461376139e-07,0.291388730968639,5.793845907506799e-07,2.098834160877107e-07,124,0.2063683286731612,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.610285519139314e-07,0.7658631002286106,4.940415273588747e-07,3.9523322188709973e-07,498,0.1998632302356638,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.876948221632478e-07,0.1522595165111381,5.907938744721526e-07,3.033528603084304e-07,249,0.1998740991271973,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.26721585900458e-07,0.798591906511457,4.53602689850941e-07,2.045994585353827e-07,356,0.207950163416108,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.498493264553911e-07,0.7484674562350907,5.819315702525105e-07,2.2527748591651826e-07,255,0.1636166804088256,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.559953083576972e-07,0.7186270825410154,5.283013263035186e-07,3.848240322708311e-07,242,0.1998749940060779,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.8031879089014964e-07,0.8252853648922408,4.685300872186207e-07,1.7908435580832265e-07,347,0.1623047117455435,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.935637551237253e-07,0.1400150178117202,4.094793721917669e-07,1.6417767004845266e-07,246,0.1482910932456861,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.992211336057852e-07,0.1252574491305657,4.822627025600727e-07,3.858101620480582e-07,311,0.1925393570407732,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.012411560079552e-07,0.88851204346398,5.051191079498904e-07,4.040952863599123e-07,122,0.1999998725213712,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.513840268538042e-07,0.1729069454326851,4.619935180958012e-07,3.683372687734616e-07,122,0.2000265289263461,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.779357878096534e-07,0.2845318242608801,5.116769996678609e-07,4.0934159973428885e-07,438,0.1998140851775096,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.790624808675881e-07,0.461011634843762,4.5812904890388884e-07,2.763678531763149e-07,235,0.0642977407144303,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.82139672607652e-07,0.832038862537248,5.933796138896802e-07,3.354288636855693e-07,232,0.2337137420916383,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.0732358852224965e-07,0.701644372510979,4.553025719130639e-07,3.3229534734354146e-07,41,0.1950747867242853,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
2.1138979074160577e-07,0.873240193477489,4.0925935378263513e-07,2.822043859173307e-07,448,0.2009214661363836,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
3.5146991831688977e-07,0.4416545452361825,5.180346484851718e-07,1.8001920524181006e-07,238,0.235762047033476,1,WOA,reflection_band,1450.0,8,20,0.2,0.6,0.2
