Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.490852755480532e-07,0.49000616046791556,4.283920365097019e-07,3.427136292077615e-07,290,0.4961147548312224,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2e-07,0.5735257716774342,6e-07,2.0889299584545294e-07,123,0.4933038231640149,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.7315152126906376e-07,0.579073167469024,4e-07,3.2e-07,99,0.0018486189876770684,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2.429979269405494e-07,0.7911566809357262,5.853473147174845e-07,3.267389158854715e-07,423,0.4106931311589811,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.5549538254249745e-07,0.7540800552374994,4.423618697433078e-07,1.4753031279191672e-07,293,0.025243133266834566,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2.2778657335331622e-07,0.34849144204164395,5.821167006393623e-07,3.9621079597646297e-07,449,0.49997977163180873,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
4e-07,0.3122793585612767,5.86773199232941e-07,1.5959225048212819e-07,148,0.22678427021316552,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.909742765694271e-07,0.2540315109796154,5.882705389247971e-07,1.2182190658842372e-07,404,0.2696272347355093,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2.1155972451263241e-07,0.6052804446102023,5.480292389388912e-07,4.372457249698098e-07,239,0.49996423989676186,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2.0487557719224507e-07,0.6606821575643684,4.658706920628222e-07,1.9303489413367842e-07,274,0.45456364942207783,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.749011512844585e-07,0.26596242497334216,5.550393539647304e-07,2.088538402708696e-07,472,0.27347717608417654,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.505652851332922e-07,0.7283877582799214,5.816155502944246e-07,1.507610397541023e-07,258,0.010738410043205053,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
4e-07,0.5346764970851718,5.961817635293652e-07,1.2761707764691274e-07,122,0.16237022537401338,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2e-07,0.6951797386900997,4e-07,3.2e-07,85,0.21326063642016593,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
4e-07,0.38756573685491125,4e-07,2.951593935554174e-07,99,0.012094267358230852,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2.429997059274415e-07,0.20688437456790176,4.1460692953870825e-07,3.316855436309666e-07,273,0.49899221297641105,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.8150144813279415e-07,0.6438020879521582,4e-07,2.596305728356673e-07,99,0.004966294802021073,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.4221894061700757e-07,0.321030516696911,4e-07,2.856840472608223e-07,99,0.01102563517463324,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.216997733291184e-07,0.34411209883738547,5.063644935459847e-07,2.8533095964304614e-07,103,0.4904458988294238,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.169727152205613e-07,0.681931656085417,5.681180420502806e-07,1.8909336940927748e-07,434,0.3306833976129837,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.6515770481941587e-07,0.872760799125177,4.0022492164187164e-07,1.3277707500876344e-07,129,0.04568278648247641,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2.9725831398274295e-07,0.13711587668553477,4.0577150393311665e-07,3.2461720314649337e-07,14,0.4976828690117725,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2e-07,0.25468994585863014,4.1585985257758114e-07,2.2747120692269485e-07,53,0.4922800861648947,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2.053922830545244e-07,0.767744806153065,5.681401473423435e-07,2.2640677023552173e-07,369,0.4913349381217951,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.2855726084125765e-07,0.6061576860276034,5.173992534133661e-07,2.0022580586093034e-07,10,0.4475778384944324,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2e-07,0.43482010138686755,5.930744466543954e-07,2.5319026783251906e-07,64,0.4966774230735969,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2.0121435503054698e-07,0.582503421366583,5.398101234348754e-07,3.1186625577734587e-07,431,0.48895267832137773,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.611738551838638e-07,0.6547137676468915,4.3691796917385925e-07,1.8611609781864798e-07,456,0.4007758197572842,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
2e-07,0.5374330330935803,6e-07,1.2900458585985585e-07,95,0.4257818788820221,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
4e-07,0.538699379226911,4e-07,1.4234475076082706e-07,146,0.19945254324583006,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
3.5183307362807374e-07,0.30553765556546403,5.228227605699332e-07,2.2423751607947656e-07,99,0.35719438748508303,1,reflection_band,1490.0,10,20,0.5,0.2,0.3
