Lambda,DC,w,N,w_c,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.585029289024172e-07,0.6252584145228829,5.58132163129925e-07,60,1.9256368409027783e-07,0.4068681712311579,1,reflection_band,1450.0,10.0,20,0.5,0.2,0.3
2.2653459762809473e-07,0.4630198022956369,4.920140971669805e-07,203,2.838257060778599e-07,0.4926959545836699,1,reflection_band,1450.0,10.0,20,0.5,0.2,0.3
2.3203908214101268e-07,0.5383141253491884,4.586875992757512e-07,310,3.444507075905371e-07,0.4897872847904492,1,reflection_band,1450.0,10.0,20,0.5,0.2,0.3
