Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.074099541630459e-07,0.6378239564025985,5.489258384152451e-07,3.3805166996045887e-07,468,0.2931039253612894,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.2374471617144868e-07,0.3944062819948769,5.156889400249713e-07,2.927257621240456e-07,60,0.2946390847453786,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.2374471617144868e-07,0.3944062819948769,5.156889400249713e-07,4.080870505760202e-07,212,0.291745918161717,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.2754440668870447e-07,0.6474355391615858,6e-07,3.6167832994205185e-07,69,0.07704579025276193,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.2359753667568784e-07,0.3459627404344136,5.207489948761868e-07,2.7865254948067596e-07,393,0.29709522677452427,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.3395653496325495e-07,0.4958767433283061,4.791525577806015e-07,1.2400713890119417e-07,45,0.2992740486874289,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.2359753667568784e-07,0.5937060939410241,5.886682336103501e-07,3.3805166996045887e-07,468,0.29817661519456234,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.3395653496325495e-07,0.41475287145802997,4.224957726265782e-07,3.2441973684491773e-07,324,0.012781800034768044,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.5406509389637403e-07,0.6387632960633409,4.0938579393282974e-07,2.2951837650752493e-07,113,0.13766650272726363,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.2359753667568784e-07,0.5937060939410241,5.886682336103501e-07,3.3805166996045887e-07,289,0.22802867367234442,1,reflection_band,1485,5,20,0.3,0.3,0.4
4e-07,0.3345391086643245,6e-07,2.3680278056519174e-07,340,0.23589233370086915,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.5583503026254095e-07,0.6474355391615858,5.774190322935774e-07,3.527619194744146e-07,340,0.1757037153982647,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.348395986235419e-07,0.5698859741872497,4.224957726265782e-07,3.2441973684491773e-07,75,0.29556972590233116,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.3141519436640922e-07,0.37045436600082104,5.354575654613704e-07,2.514299793017022e-07,289,0.295243402829483,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.57049768443791e-07,0.4500879658477308,6e-07,1.8439329023135582e-07,65,0.20865077653671038,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.4675648530786236e-07,0.6387632960633409,5.828311167849939e-07,4.3480915400321683e-07,174,0.010233375550201783,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.0819111578478612e-07,0.6387632960633409,5.828311167849939e-07,4.3480915400321683e-07,169,0.008476997223897628,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.018986369605641e-07,0.5639769618488644,5.637597111870435e-07,1.0471031489472059e-07,150,0.15059857269673266,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.5406509389637403e-07,0.6387632960633409,5.828311167849939e-07,2.2951837650752493e-07,113,0.048880398348909636,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.3395653496325495e-07,0.41475287145802997,4.224957726265782e-07,3.24336645753384e-07,198,0.2970268443542965,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.5406509389637403e-07,0.6387632960633409,5.828311167849939e-07,3.985654644134214e-07,107,0.2997305573811909,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.3771183757330967e-07,0.32965555204829383,5.816558873240533e-07,3.985654644134214e-07,212,0.2987734519767127,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.4675648530786236e-07,0.6167720777847843,5.816558873240533e-07,3.985654644134214e-07,107,0.2999841440638395,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.3771183757330967e-07,0.5698859741872497,5.774190322935774e-07,3.527619194744146e-07,340,0.2999079577589898,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.7201269615065e-07,0.6886899193797748,4.6961544748176486e-07,1.3024662828547481e-07,85,0.024187344580187193,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.2359753667568784e-07,0.5937060939410241,4.4841304406989346e-07,3.587304352559148e-07,212,0.28256268865527995,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.3109610002788436e-07,0.41475287145802997,4.224957726265782e-07,3.2441973684491773e-07,75,0.13916645376080847,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.3771183757330967e-07,0.32965555204829383,5.886682336103501e-07,3.3805166996045887e-07,468,0.27158885677682393,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.5406509389637403e-07,0.6387632960633409,5.828311167849939e-07,3.2441973684491773e-07,75,0.26312685893034726,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.018986369605641e-07,0.5639769618488644,5.637597111870435e-07,4.080870505760202e-07,113,0.2638737552798661,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.8960283439421767e-07,0.552126089941958,4.550644354671002e-07,3.2441973684491773e-07,75,0.2999591794894783,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.018986369605641e-07,0.5639769618488644,4.0938579393282974e-07,2.2951837650752493e-07,113,0.25597982521063306,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.4675648530786236e-07,0.6167720777847843,5.513695396323198e-07,2.7865254948067596e-07,393,0.31388125491854796,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.2359753667568784e-07,0.5937060939410241,5.886682336103501e-07,3.3805166996045887e-07,107,0.27538729934049566,1,reflection_band,1485,5,20,0.3,0.3,0.4
