Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy
3.7107244980067647e-07,0.7,6e-07,1.363386027552478e-07,101,13.358003868749764,1,delta_amp
3.739153398975742e-07,0.5973139854094137,5.060225221251427e-07,2.0243353631889563e-07,47,0.28794574817057905,1,delta_amp
2.491858314132476e-07,0.5783370715129774,4.452755866121493e-07,3.5622046928971947e-07,84,3.134567893210423,1,delta_amp
3.7107244980067647e-07,0.7,6e-07,1.363386027552478e-07,101,13.358003868749764,2,delta_amp
3.7107244980067647e-07,0.7,6e-07,1.363386027552478e-07,101,13.358003868749764,2,delta_amp
3.7107244980067647e-07,0.7,6e-07,1.363386027552478e-07,101,13.358003868749764,2,delta_amp
