Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.460765756516e-07,0.8137450936982454,4.821274692923904e-07,1.1890215340324151e-07,477,0.41465753347694073,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
4e-07,0.7084463582375955,6e-07,3.3645617376183474e-07,60,0.49271782877290105,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2e-07,0.3578356608673475,4.979533136254594e-07,1.6188864200274873e-07,85,0.40432180120512246,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.4780641193040296e-07,0.2675322033610258,6e-07,3.206994977809214e-07,144,0.4784569809448781,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.461079847007443e-07,0.10622977279674597,5.360361088056661e-07,1.7267790703301016e-07,366,0.34054992232835196,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.0763422284055098e-07,0.6247914247799922,4e-07,1.9346891936871116e-07,101,0.4644549759151299,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.336969640927359e-07,0.6159806788242511,4.410666562146228e-07,2.118394384464546e-07,29,0.13349855422160425,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.770268410137641e-07,0.37235786683980104,4e-07,3.2e-07,84,0.05331547168708564,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.438986251171974e-07,0.6028390460395365,4.494061714868099e-07,3.595249371894479e-07,229,0.19689857902808033,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.2277189745477784e-07,0.6066382453639739,5.217346477074341e-07,2.2105211393701482e-07,434,0.43161216651992446,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.4824627858074634e-07,0.2204145091908834,4.227991855392541e-07,3.382393484314033e-07,152,0.4986985812688517,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.5527586141012077e-07,0.3025080322217296,5.400632552160372e-07,4.1559306723979544e-07,133,0.4995414754981157,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.2132002859440396e-07,0.3585615919639225,4.395870090635873e-07,1.781377943127346e-07,74,0.379878250117037,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.0061584967653438e-07,0.2561103421869648,4.029048811073537e-07,3.22323904885883e-07,55,0.49684394854966474,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.1815911940473343e-07,0.562985746996809,4.446802638939908e-07,3.3867984922590273e-07,319,0.20971195182119318,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.491189016950917e-07,0.42614951178585625,4.142183958666471e-07,3.242259543021674e-07,142,0.8590435125945787,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.629194998854977e-07,0.45956854184882645,5.121195081975276e-07,3.489099332251272e-07,52,0.4422849873486212,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.342857204881475e-07,0.6762177039332946,4.5764827042048065e-07,2.2176005992412136e-07,110,0.48843453375488494,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2e-07,0.3924913143738758,4.942752912158424e-07,2.0108744817385318e-07,109,0.4669755275361707,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2e-07,0.40108556427293174,4e-07,2.5834181963898355e-07,74,0.46824287108210927,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
4e-07,0.3689531626391761,4.0103845992188987e-07,2.2246722799279467e-07,84,0.31134216570692475,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2e-07,0.742358475782074,4.812243586730705e-07,2.617028473822091e-07,144,0.478230391141511,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.6337174079138e-07,0.37794271022731796,4e-07,2.57966334181351e-07,113,0.4354073304550463,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.136353676732811e-07,0.4245341729035076,4e-07,3.2e-07,53,0.13894504512116607,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.0399070874061854e-07,0.3104241356047413,4e-07,1.8833775512855942e-07,135,0.24178627558027646,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.715052698182939e-07,0.5315125540016371,5.909010403468281e-07,1.9017807014206483e-07,330,0.4503384340496647,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.2642023727026272e-07,0.6720201117248339,5.480013737092462e-07,1.2005320298943995e-07,189,0.46997504813074154,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
4e-07,0.27311404803029193,5.307196955681467e-07,3.19945172142345e-07,147,0.11726067450711183,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.660183169737308e-07,0.8012033027481756,5.179143734758351e-07,3.5046959810461123e-07,200,0.4936270342570843,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.72560218021497e-07,0.220736338266675,5.576379756155195e-07,2.850069232342937e-07,335,0.20559342014433774,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.1204105048336198e-07,0.6646648239236267,6e-07,2.760688463461134e-07,109,0.4487224665974337,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.087611920729066e-07,0.37415496443814,5.822241126288026e-07,1.2460331100237948e-07,176,0.4560810422826203,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2e-07,0.43030479918071846,5.742414806223534e-07,1.71240247506196e-07,52,0.424166693523901,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.6055251954699256e-07,0.33837613334124983,4e-07,3.0194842518977554e-07,58,0.16906447091603327,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.3518272628166856e-07,0.5711550946596646,5.884770476354923e-07,2.0867738365906326e-07,87,0.49346360545457313,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.717233321724278e-07,0.12834530913079975,4.189927447664393e-07,1.6636356623798887e-07,191,0.45982434525744054,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
2.1495408871302345e-07,0.11914254124043389,4.1817444463105576e-07,3.3453955570484465e-07,212,0.49877864149009143,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
3.930786313176722e-07,0.25882569362750135,4.7286644222708443e-07,2.0572499495014002e-07,494,0.1183935544313912,1,reflection_band,1500.0,5,20,0.5,0.2,0.3
