Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.424494274644383e-07,0.5948464391581014,4e-07,2.6463200538417087e-07,97,0.11749650361218378,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2.460251179524784e-07,0.7085309777481676,6e-07,2.8039684751818934e-07,78,0.10170775166474252,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.0082615407188017e-07,0.4562056016772521,5.67644132722598e-07,4.082127744748644e-07,144,0.44715492960288034,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.81836081398615e-07,0.6487582506264289,5.672791058189799e-07,3.191323041033701e-07,464,0.2485246885568958,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2.2954546775781132e-07,0.49449311066590085,4.0010357092259646e-07,2.1473380746087937e-07,453,0.46906177305247965,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.5840581145875393e-07,0.8451375283396144,4.089404378593848e-07,3.271523502875079e-07,16,0.2620177111922542,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.5848361766514835e-07,0.5850465609336281,4.0777763399146065e-07,1.5023447317181715e-07,208,0.08109874477465137,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2e-07,0.42593598307270797,5.075333400653272e-07,2.4182542089399875e-07,118,0.49584648608072335,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2.798706953213109e-07,0.5534795189931478,6e-07,2.8390455409709904e-07,82,0.11969058261064364,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2.3020417756225117e-07,0.44456025327063275,4.039408948116336e-07,3.002057536145128e-07,122,0.48929430367527954,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2.8319075823674447e-07,0.17430236096242382,4.2333079902025426e-07,1.6475744091357615e-07,21,0.36396414348305905,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.342563515848629e-07,0.13754775203598363,5.804930204562965e-07,4.6008155771353617e-07,264,0.49590856047504983,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.872613018447231e-07,0.4904057232730784,4.704256235448812e-07,2.835684391616847e-07,81,0.10067893561986047,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.564566662287345e-07,0.40830172737105674,5.57878248379296e-07,4.4630259870343685e-07,92,0.49791929349542874,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2e-07,0.7184988480280912,5.775919131330376e-07,1.5828719579408054e-07,53,0.45434339485522074,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2.9952455738608777e-07,0.33774424329538744,4.7503588363498946e-07,3.344579456509557e-07,420,0.06806032652558053,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.7264791142463047e-07,0.6294047944175435,5.270253272147318e-07,2.721425831750796e-07,116,0.09278584474703991,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.0292917829793194e-07,0.13684173774100758,4.55655099823745e-07,3.6452407985899603e-07,243,0.10257761236079409,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.469394596167159e-07,0.5729072974513685,4e-07,1.9093258136052075e-07,75,0.09183923609452904,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
4e-07,0.40850998398373534,6e-07,3.2839032525465247e-07,67,0.40531622190976485,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2.040887901537487e-07,0.3340546548930033,6e-07,1.7147126374335176e-07,116,0.3975726324302201,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2.3667441535130015e-07,0.5616555601195115,4.0281907535025107e-07,3.07578111443577e-07,129,0.48603577488311234,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
4e-07,0.5817699789920026,6e-07,2.000923343236933e-07,68,0.4554725744402256,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.303037320095831e-07,0.8016860016191216,5.081404811412869e-07,2.1044674621685852e-07,81,0.32708288047699674,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
2e-07,0.30602367279059395,4.647067775139346e-07,3.355677585199651e-07,95,0.49745314612316643,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.0644456237529723e-07,0.17139440826082025,5.267290107654308e-07,3.568451675625856e-07,9,0.4989235277446833,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.54883886005108e-07,0.27484809222280376,4e-07,3.2e-07,111,0.02406055008591164,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
3.7946108023492674e-07,0.8641039094076223,4.08123233628796e-07,1.0664271051603913e-07,130,0.08438985189947248,1,reflection_band,1550.0,5,20,0.5,0.2,0.3
