Lambda,DC,w,N,w_c,H,alpha_param,beta,S,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.5106373530899145e-07,0.4938896371191053,5.635692612082619e-07,166,1.8479483254602526e-07,10,1.462013551602686,-0.6997077571608452,5,0.4645516702424338,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.6748093777196515e-07,0.4977359247136156,5.762532096041944e-07,175,4.6100256768335554e-07,8,1.8916363480287282,-1.1222874125609108,3,0.49742868239500215,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.4588981897963576e-07,0.5705848080628848,5.093361887554766e-07,83,2.3632029053857307e-07,1,0.9720047339649491,1.4066606345823407,0,0.41917762937900443,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.7695981020282903e-07,0.24953890671825585,4.259928473989268e-07,217,3.4079427791914147e-07,3,0.4299839282970671,0.6607191538399904,3,0.43570940107246253,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.4449753253075703e-07,0.6029467985071952,4.181649626398167e-07,322,1.4131470891748588e-07,12,1.8837757729639075,2.7357918015690195,5,0.4705681780893698,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.0583254529341565e-07,0.5591530283629083,4.675916618459534e-07,82,2.4015449536642946e-07,1,0.9678856903815388,1.3919366187367481,0,0.3921221073474509,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.297775315559824e-07,0.19138039518981903,5.484103028950646e-07,157,3.3006167586129637e-07,13,1.5603567494258685,3.102189740141245,5,0.4951883467074037,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.846024403980473e-07,0.6650150711019427,5.092176867370123e-07,178,4.0737414938960984e-07,15,1.1623754353246516,2.2995500954665293,7,0.48867858506847794,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.3966447789213195e-07,0.7732510183025195,5.595676323134869e-07,349,3.486067775375853e-07,14,0.8364819019537587,-1.7963549910561951,1,-0.15588308584614377,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.8088042059389074e-07,0.7777922621451288,4.2360161821010393e-07,121,3.3888129456808314e-07,2,1.7753468327999251,2.064403767260439,0,0.3909126683802282,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.0006200753912824e-07,0.7244003742329069,4.836622397431097e-07,372,3.645661666748839e-07,11,1.8938667734983863,-0.3831080159464082,4,0.054686165454793684,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.3001352035453304e-07,0.8728077533262423,4.725466680443294e-07,87,2.416770998741419e-07,1,2.2706556477187148,1.584995866580901,7,0.03034412458778646,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.6218896830954396e-07,0.5177073788428416,4.3631771832407164e-07,261,1.4358228081631115e-07,6,2.840415823128762,2.305233009092999,8,0.47006960560508226,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.458544389289067e-07,0.5227197886855165,4.1690166219037693e-07,113,2.150967242752697e-07,1,1.0128174411655704,1.4296477472723939,0,0.4242431072254962,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.9036694243881283e-07,0.5925606908014587,4.319059005216767e-07,87,2.2840685476980844e-07,1,0.8969631887504397,1.8378831223142236,0,0.4359571092156483,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.6884716490616406e-07,0.560374280920862,4.2860043847985487e-07,402,3.428803507838839e-07,9,1.4281048401370537,2.0364234478817402,7,0.07707964617346022,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.437526022163244e-07,0.41416523993739973,4.3854846587745145e-07,108,2.81234151689428e-07,1,0.9068404175025032,1.555606337043289,0,0.40689497063396585,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.9580872282254027e-07,0.3839443247573743,4.1362196996412616e-07,437,3.3089757597130096e-07,2,0.18752400550327875,0.7152740497660237,5,0.4961124896606747,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.575609609452496e-07,0.8174283253913613,5.143167414953981e-07,304,1.013625957672419e-07,12,2.97193904930368,1.1749346720762381,1,0.4869239585798269,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.8338068513638796e-07,0.22098413877650086,4.2376412176118907e-07,222,1.2134506857238282e-07,9,0.6083980958606161,1.4496099660489281,1,0.44144720913546237,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.634330227694944e-07,0.5613777362921305,5.212294302577435e-07,297,3.6474116999761415e-07,9,2.9736798391989616,-0.9946463848456961,7,0.38673668386324606,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.355303200071745e-07,0.3235960282101882,5.392168145894338e-07,78,4.3137345167154705e-07,15,1.062910078097662,0.01721077181438746,5,0.4260748902780575,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.03624886880057e-07,0.6103692504906768,5.463066194969065e-07,26,4.3704529559752525e-07,6,1.1050466996785906,-1.2474628852316307,8,0.48820795181463994,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.553154072007049e-07,0.8860459976246654,5.079617312038586e-07,120,4.0636938496308694e-07,11,2.327161226680433,-1.9447727907895658,6,0.3583256057275765,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.8796942021515486e-07,0.5543542274888774,5.969873807120448e-07,94,2.0330919676300914e-07,1,1.0595086316365236,1.4389751317205104,0,0.3808583904814895,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.0486534653858366e-07,0.72713946176485,5.158479265982245e-07,353,4.1267834127857964e-07,3,2.964616724867661,-1.8027587327829862,4,0.49471019696258517,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.7680486431605224e-07,0.5853586340145597,5.575029276489704e-07,366,1.5907146665523936e-07,11,2.804267281270569,1.2700787057058691,4,0.16106460694650682,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.265767126024722e-07,0.36515262928383774,4.6628076813471307e-07,456,3.7302461450777047e-07,2,1.4425970591059596,1.491979236720303,8,0.4758930994289551,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.5109976315731965e-07,0.4342491625223057,5.521820035600622e-07,155,3.229673503762669e-07,15,1.7500620230751907,-0.9546406903929832,1,0.49530878954033747,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.510233007922894e-07,0.1646099792852992,4.222955541477425e-07,436,2.383724784528258e-07,5,2.835820823961667,-2.383676980839885,4,0.47891799715365535,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.67607363092197e-07,0.21601129321826856,5.927300717927912e-07,79,4.7418405743423295e-07,13,0.9442207328378834,-1.1756603762788544,3,0.39393541373265173,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.8170791965539584e-07,0.4310070805188806,5.541400040704378e-07,84,2.790429631021312e-07,1,1.040055959038837,1.8108155689231429,0,0.4302433384239535,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.7960607771651635e-07,0.83834086378166,5.60793068044849e-07,186,4.486344544358792e-07,9,0.7243780169748919,-0.5358479301277836,3,-0.036873897519883084,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.574055607703837e-07,0.7586365351779835,5.280897057929146e-07,105,4.2247176463433174e-07,14,0.6517291664594352,1.2911023952668343,0,0.30810952497853505,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
2.302080404968722e-07,0.6552170307229397,5.884267598638795e-07,410,2.259304856384838e-07,9,0.48350773494503585,-2.918982724225119,3,0.48168226487059446,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
3.092553455421183e-07,0.3595402049581812,5.923319249992864e-07,164,4.738655399994291e-07,7,1.6011634156635979,-0.5805243366299573,3,0.44219706150710947,1,reflection_band,1500.0,5.0,20,0.5,0.2,0.3
