Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy
2.449589768630443e-07,0.4829575484565851,5.96213389957912e-07,2.5051354582612477e-07,354,-inf,1,delta_amp
2.9629534486571645e-07,0.3,4e-07,2.139628830117067e-07,123,-inf,1,delta_amp
3.8013513945299635e-07,0.3762455628472778,5.191456083589534e-07,2.844189733400442e-07,391,-inf,1,delta_amp
2.9629534486571645e-07,0.3,4e-07,2.139628830117067e-07,354,-inf,2,delta_amp
2.9629534486571645e-07,0.3,4e-07,2.5520919883713846e-07,354,-inf,2,delta_amp
2.449589768630443e-07,0.4829575484565851,5.96213389957912e-07,2.5051354582612477e-07,391,-inf,2,delta_amp
