Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.4648526655500453e-07,0.4656616994697823,6e-07,3.1498221264663354e-07,92,0.2851398648634413,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
3.0678478016624173e-07,0.32480862990051823,5.406716030480798e-07,2.595367138789852e-07,5,0.4578023748678848,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
3.328284055040678e-07,0.5482453355963628,5.235865298756846e-07,2.4058624136828657e-07,59,0.3361603777021558,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.1865217776835063e-07,0.6148369749797646,5.981972331014189e-07,3.095251819907436e-07,138,0.20826610794130773,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.8371024569573373e-07,0.5882875173663503,4.912749060038124e-07,2.087650895816768e-07,413,0.46962629780480825,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.197468334650693e-07,0.4857581425016812,4.5649931297598226e-07,2.6203868615906133e-07,66,0.4830595850917773,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.6333324157800445e-07,0.6297645847710338,6e-07,2.699583742696646e-07,81,0.08621155897464719,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.605761800498087e-07,0.5212116711496728,5.593153196069716e-07,1.0016574278849879e-07,322,0.46485581542402593,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.780174809597198e-07,0.47027006266561444,4.2926836054221645e-07,2.2759502853743194e-07,63,0.49510744625967595,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2e-07,0.7050455264309742,4.999425991828777e-07,3.58634376665164e-07,95,0.4998154381377982,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
4e-07,0.26742006995966916,5.164867172838407e-07,2.588291071755736e-07,71,0.10369449099511312,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2e-07,0.4742725042123678,4e-07,2.822553456915698e-07,97,0.19406230229863755,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.4042050484053515e-07,0.7431127854126591,6e-07,1.387697335007525e-07,63,0.44784347576291944,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2e-07,0.7394679910246971,4.694760845020327e-07,3.0752722154063136e-07,102,0.49371671873223233,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
3.0206228730585336e-07,0.6477055135215937,6e-07,1.3972589770296827e-07,147,0.441470309883016,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
4e-07,0.2718903561593337,5.796687249069503e-07,2.846591977222361e-07,77,0.45930010892348566,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
3.39463971588081e-07,0.6316023502234012,5.126355186075548e-07,2.1015449492178502e-07,464,0.43174281568794987,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.9978314748018333e-07,0.3785106107039728,6e-07,2.2247422874455677e-07,107,0.48212194940131453,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.5848259205979015e-07,0.31202510130826744,5.584195644139148e-07,1.7935498280758797e-07,131,0.47698144258942454,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.060421665353958e-07,0.5761919874458515,4.127783747992691e-07,2.055384028579381e-07,122,0.48229303499794823,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2.6026452350199876e-07,0.7066030914872986,4.408669373711054e-07,1.3853182029196738e-07,42,0.45853169981361835,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
2e-07,0.7171353009947508,4.1876168077898325e-07,1.6037623959757992e-07,106,0.4474856393705478,1,reflection_band,1530.0,5,20,0.5,0.2,0.3
