Lambda,DC,w,N,w_c,delta_s_max,P,M,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.02269587693402e-07,0.5107146692166861,4.474644335655562e-07,291,1.4096438708332268e-07,4.067577086398565e-08,3.2791276228397215,2.1897094572405575,-inf,1,reflection_band,1450.0,10.0,20,0.5,0.2,0.3
2.868960829374272e-07,0.17036305576497962,4.7520762752724683e-07,282,3.801661020217975e-07,3.324024270979285e-08,6.387473968347476,3.0001140946612574,-inf,1,reflection_band,1450.0,10.0,20,0.5,0.2,0.3
