Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy
2.5850516969955636e-07,0.4318615333200181,5.393025787683647e-07,2.5794561757214104e-07,417,-inf,1,delta_amp
3.3346130696050857e-07,0.5619387878840801,4.136995123720264e-07,3.2624292598655877e-07,352,-inf,1,delta_amp
2e-07,0.5856790928350826,4e-07,1.6862117265026815e-07,132,-inf,1,delta_amp
2.5850516969955636e-07,0.4318615333200181,5.393025787683647e-07,3.2624292598655877e-07,352,-inf,2,delta_amp
2e-07,0.5619387878840801,4.136995123720264e-07,3.3095960989762115e-07,352,-inf,2,delta_amp
2.5850516969955636e-07,0.4318615333200181,5.393025787683647e-07,1.6862117265026815e-07,132,-inf,2,delta_amp
